Name,Enrollment,Latitude,Longitude
"University of California, Berkeley",42519,37.8718992,-122.2585399
"University of California, Davis",39152,38.5382322,-121.7617125
"University of California, Irvine",35220,33.6404952,-117.8442962
"University of California, Los Angeles",45428,34.068921,-118.4451811
"University of California, Merced",8544,37.3660652,-120.4224179
"University of California, Riverside",23278,33.9737055,-117.3280644
"University of California, San Diego",38798,32.8800604,-117.2340135
"University of California, Santa Barbara",24346,34.4139629,-119.848947
"University of California, Santa Cruz",19700,36.9880503,-122.0582093
California State University Maritime Academy,1017,38.0689193,-122.2303477
California Polytechnic State University,21812,35.3050053,-120.6624942
"California State Polytechnic University, Pomona",26443,34.0588862,-117.8193781
"California State University, Bakersfield",10493,35.3486641,-119.1033448
California State University Channel Islands,7095,34.1620556,-119.043463
"California State University, Chico",17488,39.72979960000001,-121.8459842
"California State University, Dominguez Hills",15741,33.8662483,-118.257364
"California State University, East Bay",14525,37.6571459,-122.0574872
"California State University, Fresno",24995,36.8133631,-119.7460947
"California State University, Fullerton",39774,33.8823476,-117.8851033
"California State University, Long Beach",36846,33.7838235,-118.1140904
"California State University, Los Angeles",27685,34.0667698,-118.1684392
"California State University, Monterey Bay",7079,36.6516548,-121.7977985
"California State University, Northridge",38716,34.2410366,-118.5276745
"California State University, Sacramento",31131,38.5581553,-121.4214301
"California State University, San Bernardino",19973,34.1813584,-117.3231875
California State University San Marcos,14511,33.1294938,-117.1595707
"California State University, Stanislaus",10214,37.525248,-120.8553931
Humboldt State University,7774,40.8747332,-124.0789268
San Diego State University,34881,32.7759894,-117.0712533
San Francisco State University,29586,37.7241492,-122.4799405
San Jose State University,32828,37.3351874,-121.8810715
Sonoma State University,9201,38.3395854,-122.6743811
